sro,member_name,website,member_type
AMFI,360 ONE Mutual Fund,,member
AMFI,Abakkus Mutual Fund,,member
AMFI,Aditya Birla Sun Life Mutual Fund,,member
AMFI,AlphaGrep Mutual Fund,,member
AMFI,Angel One Mutual Fund,,member
AMFI,Axis Mutual Fund,,member
AMFI,Bajaj Finserv Mutual Fund,,member
AMFI,Bandhan Mutual Fund,,member
AMFI,Bank of India Mutual Fund,,member
AMFI,Baroda BNP Paribas Mutual Fund,,member
AMFI,Canara Robeco Mutual Fund,,member
AMFI,Capitalmind Mutual Fund,,member
AMFI,Carnelian Mutual Fund,,member
AMFI,Choice Mutual Fund,,member
AMFI,DSP Mutual Fund,,member
AMFI,Edelweiss Mutual Fund,,member
AMFI,Franklin Templeton Mutual Fund,,member
AMFI,Groww Mutual Fund,,member
AMFI,HDFC Mutual Fund,,member
AMFI,Helios Mutual Fund,,member
AMFI,HSBC Mutual Fund,,member
AMFI,ICICI Prudential Mutual Fund,,member
AMFI,IL&FS Mutual Fund (IDF),,member
AMFI,Invesco Mutual Fund,,member
AMFI,ITI Mutual Fund,,member
AMFI,Jio BlackRock Mutual Fund,,member
AMFI,JM Financial Mutual Fund,,member
AMFI,Kotak Mahindra Mutual Fund,,member
AMFI,Lakshya Mutual Fund,,member
AMFI,LIC Mutual Fund,,member
AMFI,Mahindra Manulife Mutual Fund,,member
AMFI,Mirae Asset Mutual Fund,,member
AMFI,Monarch Mutual Fund,,member
AMFI,Motilal Oswal Mutual Fund,,member
AMFI,Navi Mutual Fund,,member
AMFI,Nippon India Mutual Fund,,member
AMFI,NJ Mutual Fund,,member
AMFI,Nuvama Mutual Fund,,member
AMFI,Old Bridge Mutual Fund,,member
AMFI,PGIM India Mutual Fund,,member
AMFI,PPFAS Mutual Fund,,member
AMFI,quant Mutual Fund,,member
AMFI,Quantum Mutual Fund,,member
AMFI,Samco Mutual Fund,,member
AMFI,SBI Mutual Fund,,member
AMFI,Shriram Mutual Fund,,member
AMFI,Sundaram Mutual Fund,,member
AMFI,Tata Mutual Fund,,member
AMFI,Taurus Mutual Fund,,member
AMFI,Trust Mutual Fund,,member
AMFI,Unifi Mutual Fund,,member
AMFI,Union Mutual Fund,,member
AMFI,UTI Mutual Fund,,member
AMFI,The Wealth Company Mutual Fund,,member
AMFI,WhiteOak Capital Mutual Fund,,member
AMFI,Zerodha Mutual Fund,,member
