sro,member_name,website,member_type
FACE,finmantri,https://finmantri.com/,member
FACE,InCred,https://www.incred.com,member
FACE,Finvu,https://www.finvu.in,member
FACE,CADRE,https://www.cadre.org.in,member
FACE,FinAGG,https://www.finagg.in,member
FACE,Fibe,https://www.fibe.in,member
FACE,Faircent,https://www.faircent.com,member
FACE,Easebuzz,https://www.easebuzz.in,member
FACE,Doqfy,https://www.doqfy.in,member
FACE,Digio,https://www.digio.in,member
FACE,Decentro,https://www.decentro.tech,member
FACE,Rezolv,https://www.getrezolv.com,member
FACE,CRIF,https://www.crif.com/in,member
FACE,Credit Saison India,https://www.creditsaison.in,member
FACE,Credgenics,https://www.credgenics.com,member
FACE,Castler,https://www.castler.com,member
FACE,Cashfree Payments,https://www.cashfree.com,member
FACE,Bureau,https://www.bureau.id,member
FACE,Branch,https://www.branch.co.in,member
FACE,BillMart,https://www.billmart.in,member
FACE,BharatPe,https://www.bharatpe.com,member
FACE,Bankbazaar,https://www.bankbazaar.com,member
FACE,Bajaj Finserv,https://www.bajajfinserv.in,member
FACE,Ayekart,https://www.ayekart.com,member
FACE,Aspire,https://www.letsaspire.in,member
FACE,AngelOne,https://www.angelone.in,member
FACE,Airtel Finance,https://www.airtel.in/airtel-finance,member
FACE,Airpay,,member
FACE,Apollo Finvest,https://www.apollofinvest.in,member
FACE,Glimmer Technologies,https://www.glimmertech.in/,member
FACE,OneCard,https://www.getonecard.app,member
FACE,Olyv,https://www.olyv.co.in,member
FACE,Novopay,https://www.novopay.in,member
FACE,Northern Arc,https://www.northernarc.com,member
FACE,Newtap Finance,https://www.newtap.in,member
FACE,Navanc,https://www.navanc.com,member
FACE,Moneyview,https://www.moneyview.in,member
FACE,MobiKwik,https://www.mobikwik.com,member
FACE,MicroSave Consulting,https://www.microsave.net,member
FACE,MAS Financial,https://www.masfin.in,member
FACE,BimaPay,https://www.bimapay.in,member
FACE,Lxme,https://www.lxme.in,member
FACE,LiquiLoans,https://www.liquiloans.com,member
FACE,LightMoney,https://www.lightmoney.in,member
FACE,Lendbox,https://www.lendbox.in,member
FACE,LeadSquared,https://www.leadsquared.com,member
FACE,KreditBee,https://www.kreditbee.in,member
FACE,Knight Fintech,https://www.knightfintech.com,member
FACE,Kissht,https://www.kissht.com,member
FACE,India Gold,https://www.indiagold.co,member
FACE,IDfy,https://www.idfy.com,member
FACE,HyperVerge,https://www.hyperverge.co,member
FACE,Groww,https://www.groww.in,member
FACE,Gnani.ai,https://www.gnani.ai,member
FACE,GetVantage,https://www.getvantage.co,member
FACE,Flexmoney,https://www.flexmoney.in,member
FACE,Rupeek,https://www.rupeek.com,member
FACE,Razorpay,https://www.razorpay.com,member
FACE,Paisabazaar,https://www.paisabazaar.com,member
FACE,Finbox,https://www.finbox.in,member
FACE,Finarkein,https://www.finarkein.com,member
FACE,Zoop Money,https://www.zoop.one,member
FACE,Zeta,https://www.zeta.tech,member
FACE,Zerodha Capital,https://www.zerodha.com,member
FACE,Uni,https://www.uni.cards,member
FACE,True Balance,https://www.truebalanceindia.com,member
FACE,TransBnk,https://www.transbnk.co.in,member
FACE,Surepass,https://www.surepass.io,member
FACE,Stable Money,https://www.stablemoney.in,member
FACE,Spocto X,https://www.spocto.com,member
FACE,Simpl,https://www.simpl.credit,member
FACE,DPDzero,https://www.dpdzero.com,member
FACE,Manipal Fintech,https://www.manipalfintech.com,member
FACE,Saafe,https://www.saafe.in,member
FACE,Revfin,https://www.revfin.in,member
FACE,Progcap,https://www.progcap.com,member
FACE,Pocketly,https://www.pocketly.in,member
FACE,Pine Labs,https://www.pinelabs.com,member
FACE,PhonePe,https://www.phonepe.com,member
FACE,Perfios,https://www.perfios.com,member
FACE,Paytm,https://www.paytm.com,member
FACE,PayU,https://www.payu.in,member
FACE,Pay Nearby,https://www.paynearby.in,member
FACE,OnGrid,https://www.ongrid.in,member
FACE,OneMoney,https://www.onemoney.in,member
