sro,member_name,website,member_type
GI Council,Acko General Insurance Limited,,member
GI Council,Aditya Birla Health Insurance Co Ltd,,member
GI Council,Agriculture Insurance Co. Of India Ltd.,,member
GI Council,"Allianz Global Corporate &amp; Speciality SE, India Branch",,member
GI Council,AXA France VIE – India Reinsurance Branch,,member
GI Council,Bajaj General Insurance Limited,,member
GI Council,Care Health Insurance Ltd,,member
GI Council,Cholamandalam MS General Insurance Co. Ltd.,,member
GI Council,ECGC Ltd,,member
GI Council,Factory Mutual Insurance Co – India Branch,,member
GI Council,Galaxy Health Insurance Company Limited,,member
GI Council,General Insurance Corporation of India Ltd,,member
GI Council,General Reinsurance AG - India Branch,,member
GI Council,Generali Central Insurance Company Limited,,member
GI Council,Go Digit General Insurance Limited,,member
GI Council,Hannover Ruck SE - India Branch,,member
GI Council,HDFC ERGO General Insurance Co Ltd,,member
GI Council,ICICI Lombard General Insurance Co Ltd,,member
GI Council,IFFCO-Tokio General Insurance Co Ltd,,member
GI Council,IndusInd General Insurance Company Limited,,member
GI Council,Kiwi General Insurance Ltd,,member
GI Council,Kshema General Insurance Limited,,member
GI Council,Liberty General Insurance Limited,,member
GI Council,Lloyd's India,,member
GI Council,Magma General Insurance Limited,,member
GI Council,ManipalCigna Health Insurance Company Limited,,member
GI Council,Munich Re - India Branch,,member
GI Council,Narayana Health Insurance Limited,,member
GI Council,National Insurance Co. Ltd,,member
GI Council,Navi General Insurance Ltd.,,member
GI Council,The New India Assurance Co. Ltd.,,member
GI Council,Niva Bupa Health Insurance Company Limited,,member
GI Council,Raheja QBE General Insurance Co. Ltd.,,member
GI Council,RGA Life Reinsurance Co. of Canada – India Branch,,member
GI Council,Royal Sundaram General Insurance Co. Ltd.,,member
GI Council,SBI General Insurance Co. Ltd.,,member
GI Council,SCOR SE - India Branch,,member
GI Council,Shriram General Insurance Co. Ltd.,,member
GI Council,Star Health &amp; Allied Insurance Co. Ltd.,,member
GI Council,Swiss Reinsurance Company Ltd. India Branch,,member
GI Council,Tata AIG General Insurance Co. Ltd.,,member
GI Council,The Oriental Insurance Co. Ltd.,,member
GI Council,United India Insurance Co. Ltd.,,member
GI Council,Universal Sompo General Insurance Co. Ltd.,,member
GI Council,Valueattics Reinsurance Limited,,member
GI Council,XL Insurance Co SE - India Reinsurance Branch,,member
GI Council,Zuno General Insurance Limited,,member
GI Council,Zurich Kotak General Insurance Company (India) Limited,,member
GI Council,Prudential HCL Health Insurance Ltd,,member
