sro,category,name,role,affiliation,source
FACE,board,Ram Rastogi,Independent Director & Chair,,https://faceofindia.org/governance/
FACE,board,Manoranjan Mishra,Independent Director,,https://faceofindia.org/governance/
FACE,board,Avtar Monga,Member Director,,https://faceofindia.org/governance/
FACE,board,Srinath Sridharan,Member Director,,https://faceofindia.org/governance/
FACE,board,Ashish Goyal,Member Director,,https://faceofindia.org/governance/
FACE,board,Nitin Gupta,Member Director,,https://faceofindia.org/governance/
FACE,board,Madhusudan Ekambaram,Member Director,,https://faceofindia.org/governance/
FACE,board,Sanjay Aggarwal,Member Director,,https://faceofindia.org/governance/
FACE,board,Vineet Sukumar,Member Director,,https://faceofindia.org/governance/
FACE,committee,Ashish Goyal,"Audit, Finance & Remuneration Committee",,https://faceofindia.org/governance/
FACE,committee,Avtar Monga,"Audit, Finance & Remuneration Committee",,https://faceofindia.org/governance/
FACE,committee,Srinath Sridharan,"Audit, Finance & Remuneration Committee",,https://faceofindia.org/governance/
FACE,committee,Vineet Sukumar,"Audit, Finance & Remuneration Committee",,https://faceofindia.org/governance/
FACE,executive,Sugandh Saxena,CEO (first CEO, appointed Aug 2021),
FACE,executive,Dheeraj Bhardwaj,Vice President - Technology,,https://faceofindia.org/team/
FACE,executive,Jay Tripathi,Vice President,,https://faceofindia.org/team/
FACE,executive,Monami Dasgupta,AVP - Policy & Research,,https://faceofindia.org/team/
UFF,board,Alok Prasad,Chairman - Independent Board Member,Ex veteran banker,https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Dhananjay Tambe,Independent Board Member,"Ex-Deputy MD & CIO, SBI",https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Meena Hemchandra,Independent Board Member,"Ex-ED, Department of Supervision, RBI",https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Mohammad Mustafa,Independent Board Member,"Ex-Chairman & MD, SIDBI / NHB / CERSAI",https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,N S Vishwanathan,Independent Board Member,"Ex-Deputy Governor, RBI",https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Y G Parande,Independent Board Member,"Ex-Member, CBEC, MoF, IRS",https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Alok Mittal,Board Member,Co-Founder - Indifi,https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Anuj Kacker,Board Member,Co-Founder & COO - Freo,https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Harshvardhan Lunia,Board Member,Founder & CEO - Finsagex Technologies (Lendingkart),https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Jitendra Gupta,Board Member,Founder - Jupiter,https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Manish Lunia,Board Member,Co-Founder - FlexiLoans,https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,board,Sunil Kulkarni,Board Member,Advisor BCFI - Chair WG Reserve Bank Innovation Hub,https://unifiedfintech.in/uff-governance-and-secretariat/
UFF,executive,Manish Lunia,President,Co-Founder - FlexiLoans,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Upasana Taku,Vice-President & Chair Events,"Co-Founder, ED & CFO - MobiKwik",https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Anil Pinapala,Co-Chair SRO,Founder & MD - Vivifi,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Pallavi Shrivastava,Chair SRO,Co-Founder - Progcap,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Sangram Singh,Chair Knowledge,CEO - Indifi,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Anurag Sinha,Chair Knowledge,Co-founder - Onecard,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Sashank Rishyasringa,Co-Chair Policy Product & Tech,Co-Founder - Axio,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Gaurav Chopra,Co-Chair Events,Founder - Indialends,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Anuj Kacker,Chair PR,Co-Founder & COO - Freo,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Shachindra Nath,EC Member,Founder & MD - UGRO Capital,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Chiranth Patil,EC Member,Co-founder - Riskcovry,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Srikanth Rajgopalan,EC Member,CEO - Perfios AA,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,executive,Nalin Negi,EC Member,CEO - BharatPe,https://unifiedfintech.in/unified-fintech-forum-executive-committee/
UFF,advisory,Sathyan David,Advisory Council,Former CGM (Dept. of Supervision) RBI,https://unifiedfintech.in/advisory-council/
UFF,advisory,Alpana Killawala,Advisory Council,Veteran central bank communications & PR expert,https://unifiedfintech.in/advisory-council/
UFF,advisory,Siba Narayan Panda,Advisory Council,Veteran central banker and technology specialist,https://unifiedfintech.in/advisory-council/
FIDC,board,Umesh Revankar,Chairman (since Aug 2023),Executive Vice Chairman - Shriram Finance,https://bfsi.eletsonline.com/fidc-appoints-umesh-revankar-as-new-chairman/
FIDC,executive,Raman Agrawal,CEO,,https://www.fidcindia.org.in/
FIDC,board,Kamlesh Gandhi,Governing Council Member,Founder & MD - MAS Financial Services,https://www.fidcindia.org.in/
FIDC,board,K V Srinivasan,Governing Council Member (Additional Director wef 2026-01-20),CEO - Profectus Capital,https://www.fidcindia.org.in/
FIDC,board,Mahesh Thakkar,Governing Council Member,Former Director General - FIDC,https://www.fidcindia.org.in/
FIDC,board,V P Nandakumar,Governing Council Member,MD & CEO - Manappuram Finance,https://www.fidcindia.org.in/
FIDC,board,Shachindra Nath,Governing Council Member,Founder & MD - UGRO Capital,https://www.fidcindia.org.in/
