sro,member_name,website,member_type
LI Council,ACKO LIFE INSURANCE LIMITED,,member
LI Council,Aditya Birla Sun Life Insurance Company Limited,,member
LI Council,AGEAS Federal Life Insurance Company Limited,,member
LI Council,Aviva Life Insurance Company India Limited,,member
LI Council,Axis Max Life Insurance Limited,,member
LI Council,Bajaj Life Insurance Limited,,member
LI Council,Bandhan Life Insurance Limited (Formerly Aegon Life Insurance Company Limited),,member
LI Council,Bharti AXA Life Insurance Company Limited,,member
LI Council,Canara HSBC Life Insurance Company Limited,,member
LI Council,CreditAccess Life Insurance Limited,,member
LI Council,Edelweiss Life Insurance Company Limited,,member
LI Council,Exide Life Insurance Company Limited,,member
LI Council,Generali Central Life Insurance Company Limited,,member
LI Council,Go Digit Life Insurance Limited,,member
LI Council,HDFC Life Insurance Company Limited,,member
LI Council,ICICI Prudential Life Insurance Company Limited,,member
LI Council,IndiaFirst Life Insurance Company Limited,,member
LI Council,IndusInd Nippon Life Insurance Company Limited,,member
LI Council,Kotak Mahindra Life Insurance Company Limited,,member
LI Council,Life Insurance Corporation of India,,member
LI Council,PNB MetLife India Insurance Company Limited,,member
LI Council,Pramerica Life Insurance Company Limited,,member
LI Council,Sahara India Life Insurance Company Limited,,member
LI Council,SBI Life Insurance Company Limited,,member
LI Council,Shriram Life Insurance Company Limited,,member
LI Council,Star Union Dai-ichi Life Insurance Company Limited,,member
LI Council,Tata AIA Life Insurance Company Limited,,member
