sro_id,member_name,member_type,source_url,captured_on
amfi,360 ONE Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Abakkus Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Aditya Birla Sun Life Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,AlphaGrep Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Angel One Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Axis Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Bajaj Finserv Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Bandhan Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Bank of India Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Baroda BNP Paribas Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Canara Robeco Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Capitalmind Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Carnelian Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Choice Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,DSP Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Edelweiss Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Franklin Templeton Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Groww Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,HDFC Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Helios Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,HSBC Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,ICICI Prudential Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,IL&FS Mutual Fund (IDF),member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Invesco Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,ITI Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Jio BlackRock Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,JM Financial Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Kotak Mahindra Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Lakshya Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,LIC Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Mahindra Manulife Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Mirae Asset Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Monarch Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Motilal Oswal Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Navi Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Nippon India Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,NJ Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Nuvama Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Old Bridge Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,PGIM India Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,PPFAS Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,quant Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Quantum Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Samco Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,SBI Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Shriram Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Sundaram Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Tata Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Taurus Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Trust Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Unifi Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Union Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,UTI Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,The Wealth Company Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,WhiteOak Capital Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
amfi,Zerodha Mutual Fund,member,https://www.amfiindia.com/aboutamfi (Members tab),2026-09-26
