sro_id,member_name,member_type,source_url,captured_on
gic,Acko General Insurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Aditya Birla Health Insurance Co Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Agriculture Insurance Co. Of India Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,"Allianz Global Corporate &amp; Speciality SE, India Branch",member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,AXA France VIE – India Reinsurance Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Bajaj General Insurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Care Health Insurance Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Cholamandalam MS General Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,ECGC Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Factory Mutual Insurance Co – India Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Galaxy Health Insurance Company Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,General Insurance Corporation of India Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,General Reinsurance AG - India Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Generali Central Insurance Company Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Go Digit General Insurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Hannover Ruck SE - India Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,HDFC ERGO General Insurance Co Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,ICICI Lombard General Insurance Co Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,IFFCO-Tokio General Insurance Co Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,IndusInd General Insurance Company Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Kiwi General Insurance Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Kshema General Insurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Liberty General Insurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Lloyd's India,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Magma General Insurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,ManipalCigna Health Insurance Company Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Munich Re - India Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Narayana Health Insurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,National Insurance Co. Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Navi General Insurance Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,The New India Assurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Niva Bupa Health Insurance Company Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Raheja QBE General Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,RGA Life Reinsurance Co. of Canada – India Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Royal Sundaram General Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,SBI General Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,SCOR SE - India Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Shriram General Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Star Health &amp; Allied Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Swiss Reinsurance Company Ltd. India Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Tata AIG General Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,The Oriental Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,United India Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Universal Sompo General Insurance Co. Ltd.,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Valueattics Reinsurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,XL Insurance Co SE - India Reinsurance Branch,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Zuno General Insurance Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Zurich Kotak General Insurance Company (India) Limited,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
gic,Prudential HCL Health Insurance Ltd,member,https://www.gicouncil.in/members-of-gi-council/,2026-09-26
