sro,member_name,website,member_type,logo_file
Sahamati,Agya Technologies Private Limited,https://agya.co/,member,
Sahamati,CAMS Financial Information Services Private Limited,https://camsfinserv.com/,member,
Sahamati,Cookiejar Technologies Private Ltd (Finvu-AA),https://finvu.in/,member,
Sahamati,Cygnet Account Aggregation Private Limited,https://cygnet-aa.com/%20,member,
Sahamati,Dashboard Account Aggregation Services Private Limited (Saafe),https://saafe.in/,member,
Sahamati,Digio Internet Private Limited,https://www.digio.link/,member,
Sahamati,FinSec AA Solutions Private Limited (OneMoney),https://www.onemoney.in/,member,
Sahamati,INK (Unacores AA Solutions Private Limited),https://ink-aa.com/,member,
Sahamati,NESL Asset Data Limited (NADL),https://www.nadl.co.in/,member,
Sahamati,OMS Fintech Account Aggregator PVT LTD,https://www.omsaa.com/,member,
Sahamati,PB Financial Account Aggregators Pvt Ltd,https://www.pbfintechaa.com/account-aggregator/home,member,
Sahamati,Perfios Account Aggregation Services Pvt. Ltd. (Anumati),https://www.anumati.co.in/,member,
Sahamati,Protean Suraksha AA,https://www.proteantech.in/,member,
Sahamati,Scoreme Account Aggregation Solutions Private Limited,https://www.scoremeaa.com/,member,
Sahamati,Tally Account Aggregator Services Private Limited,https://tallyedge.com/home,member,
Sahamati,Upmint Solutions Private Limited,https://www.upmintaa.com/,member,
Sahamati,Kfin Technologies Limited,https://loksuvidha.com/,member,
Sahamati,Si Creva Capital Services Private Limited,https://sicrevacapital.com/,member,
Sahamati,YES BANK LIMITED,https://www.yes.bank.in/,member,
Sahamati,121 Finance Pvt ltd,https://121finance.com/,member,
Sahamati,Abakkus Asset Manager Private Limited,http://www.abakkusinvest.com,member,
Sahamati,Aditya Birla Capital Digital Limited,https://www.adityabirlacapital.com/,member,
Sahamati,Aditya Birla Capital Limited,https://www.adityabirlacapital.com/,member,
Sahamati,Aditya Birla Health Insurance Co Ltd,https://www.adityabirlacapital.com/healthinsurance/homepage,member,
Sahamati,Aditya Birla Housing Finance Limited,https://homefinance.adityabirlacapital.com/,member,
Sahamati,Aditya Birla Money Limited,https://stocksandsecurities.adityabirlacapital.com/,member,
Sahamati,Aditya Birla Sun Life AMC,https://mutualfund.adityabirlacapital.com,member,
Sahamati,Aditya Birla Sun Life Insurance Company,https://lifeinsurance.adityabirlacapital.com/,member,
Sahamati,ADJ Utility Apps Private Limited,https://khatabook.com/,member,
Sahamati,Angel One Ltd.,https://www.angelone.in/,member,
Sahamati,AU Small Finance Bank Limited,https://www.aubank.in/,member,
Sahamati,Axis Bank Limited,https://www.axis.bank.in/,member,
Sahamati,Axis Finance Limited,https://www.axisfinance.in/,member,
Sahamati,Axis Mutual Fund,https://www.axismf.com/,member,
Sahamati,Axis Securities Ltd,https://simplehai.axisdirect.in/,member,
Sahamati,Bajaj Finance Limited,https://www.bajajgroup.company/core-companies/bajaj-finance-limited/,member,
Sahamati,Bajaj Finserv Asset Management Limited,https://www.bajajamc.com/,member,
Sahamati,Bajaj Finserv Direct Limited,https://www.bajajfinservmarkets.in,member,
Sahamati,Bajaj Housing Finance Limited,https://www.bajajhousingfinance.in/,member,
Sahamati,Bajaj Life Insurance Limited,https://www.bajajlifeinsurance.com/,member,
