sro,platform,handle,url,source,verified,notes
face,x,@FACEOfIndiaOrg,https://x.com/FACEOfIndiaOrg,official site,2026-09-25,
face,linkedin,company/faceofindiaorg,https://www.linkedin.com/company/faceofindiaorg/,official site,2026-09-25,Primary announcement surface (14k+ followers)
face,youtube,@fintechassociationforconsu4582,https://www.youtube.com/@fintechassociationforconsu4582,platform lookup,2026-09-25,Consumer-education campaign channel
face,facebook,FACEOfIndiaOrgg,https://www.facebook.com/FACEOfIndiaOrgg,official site,2026-09-25,
face,instagram,faceofindiaorg,https://www.instagram.com/faceofindiaorg/,official site,2026-09-25,
uff,x,@unifiedfintech,https://x.com/unifiedfintech,official site,2026-09-25,
uff,linkedin,company/unifiedfintech,https://www.linkedin.com/company/unifiedfintech,official site,2026-09-25,Most active surface — recognition / events / EC announcements
srpa,linkedin,company/self-regulated-pso-association,https://www.linkedin.com/company/self-regulated-pso-association,platform lookup,2026-09-25,Only public account; homepage links no social profiles at all
fidc,x,@FidcIndia,https://x.com/FidcIndia,platform lookup,2026-09-25,Self-described official handle
fidc,linkedin,company/fidc-india,https://www.linkedin.com/company/fidc-india/,official site,2026-09-25,
fidc,facebook,fidcindia,https://www.facebook.com/fidcindia/,official site,2026-09-25,
fidc,instagram,fidcindia,https://www.instagram.com/fidcindia/,official site,2026-09-25,
mfin,x,@mfin_india,https://x.com/mfin_india,official site,2026-09-25,
mfin,linkedin,company/microfinance-institutions-network,https://www.linkedin.com/company/microfinance-institutions-network,official site,2026-09-25,
mfin,youtube,UCsFL4uW_vTucJ13Xgg0AuWg,https://www.youtube.com/channel/UCsFL4uW_vTucJ13Xgg0AuWg,official site,2026-09-25,
mfin,facebook,mfinindia.org,https://www.facebook.com/mfinindia.org,official site,2026-09-25,
sadhan,x,@Sadhan1999,https://x.com/Sadhan1999,official site,2026-09-25,
sadhan,linkedin,in/sa-dhan-association-33b957b3,https://www.linkedin.com/in/sa-dhan-association-33b957b3/,official site,2026-09-25,Personal-style profile rather than a company page
sadhan,youtube,UCJ_Lk8aAjKEkJzGtKt4rlUg,https://www.youtube.com/channel/UCJ_Lk8aAjKEkJzGtKt4rlUg,official site,2026-09-25,
sadhan,facebook,sadhanassociation1999,https://www.facebook.com/sadhanassociation1999,official site,2026-09-25,
sadhan,instagram,sadhanassocation,https://www.instagram.com/sadhanassocation/,official site,2026-09-25,Handle misspells 'association' — as published by Sa-Dhan
fedai,x,@FEDAI1958,https://x.com/FEDAI1958,official announcement,2026-09-25,Handle announced via FEDAI's own LinkedIn post
fedai,linkedin,company/foreign-exchange-dealers-association-of-india,https://www.linkedin.com/company/foreign-exchange-dealers-association-of-india/,official site,2026-09-25,
fedai,youtube,UCORwbefpjQ922snbL7zIl2w,https://www.youtube.com/channel/UCORwbefpjQ922snbL7zIl2w,platform lookup,2026-09-25,
sahamati,x,@sahamati,https://x.com/sahamati,official site,2026-09-25,
sahamati,linkedin,company/sahamati,https://www.linkedin.com/company/sahamati/,official site,2026-09-25,
sahamati,youtube,UCFJvhLOcH7Sedu9a3zVQ6ig,https://www.youtube.com/channel/UCFJvhLOcH7Sedu9a3zVQ6ig,official site,2026-09-25,
sahamati,instagram,sahamati_,https://www.instagram.com/sahamati_/,official site,2026-09-25,
fimmda,linkedin,company/fimmda,https://in.linkedin.com/company/fimmda,platform lookup,2026-09-25,Only public account; legacy frameset website links no socials
