sro_id,name,abbr,website,nlp_site,recognition,recognised_date,status,sector,regulator
face,Fintech Association for Consumer Empowerment,FACE,https://faceofindia.org,https://faceofindia.org/membership/,RBI-recognised SRO-FT (first),2024-08-28,active,fintech,RBI
uff,Unified Fintech Forum,UFF,https://unifiedfintech.in,https://unifiedfintech.in/members-network/,RBI-recognised SRO-FT (second); rebranded from DLAI (Apr 2025),2026-09-10,active,fintech,RBI
srpa,Self-Regulated PSO Association,SRPA,https://srpa.org.in,https://srpa.org.in/,RBI-recognised SRO for Payment System Operators (not a fintech SRO-FT); tracked for context,2025-11-11,related,pso,RBI
fidc,Finance Industry Development Council,FIDC,https://www.fidcindia.org.in,https://www.fidcindia.org.in/membership-details/,RBI-recognised SRO for NBFCs (not a fintech SRO-FT); tracked for context,2025-10-03,related,nbfc,RBI
mfin,Microfinance Institutions Network,MFIN,https://mfinindia.org,https://mfinindia.org/members,RBI-recognised SRO for NBFC-MFIs (first; RBI letter dated 16 Jun 2014),2014-06-16,active,microfinance,RBI
sadhan,Sa-Dhan,Sa-Dhan,https://www.sa-dhan.net,https://www.sa-dhan.net/what-we-do/sro/,RBI-recognised SRO for NBFC-MFIs (second; Mar 2015),2015-03-11,active,microfinance,RBI
fedai,Foreign Exchange Dealers' Association of India,FEDAI,https://www.fedai.org.in,https://www.fedai.org.in/Default.aspx,RBI-recognised SRO for all Authorised Dealers in foreign exchange (Omnibus framework; 1-yr transition to Jan 2027),2026-01-14,active,forex,RBI
sahamati,Sahamati,Sahamati,https://sahamati.org.in,https://sahamati.org.in/current-re-members/,RBI-recognised SRO for the Account Aggregator (AA) ecosystem (5 Jun 2026),2026-06-05,active,account aggregator / open finance,RBI
fimmda,Fixed Income Money Market and Derivatives Association of India,FIMMDA,https://www.fimmda.org,https://www.fimmda.org/UploadPopupPageFiles/MembersList_8May2025.pdf,RBI-recognised SRO in financial markets (first; under the Aug 2024 financial-markets SRO framework; RBI PR 2025-2026/274),2025-05-07,active,financial markets (fixed income / money market / derivatives),RBI
basl,BSE Administration and Supervision Ltd,BASL,https://www.basl.in,,"SEBI-recognised IAASB for investment advisers (3 years from 1 Jun 2021); designated IAASB + RAASB under SEBI's 2024 supervision framework (circular 16 May 2024, effective 25 Jul 2024)",2021-06-01,active,investment advisers (IAASB) + research analysts (RAASB),SEBI
aibi,Association of Investment Bankers of India,AIBI,https://aibi.org.in,https://aibi.org.in/member.asp,"SEBI recognition recorded since AR 1997-98 ('granted recognition to set up professional standards...'; as AMBI, renamed AIBI)",1997-98,active,merchant bankers / investment banks,SEBI
lic,Life Insurance Council,LI Council,http://www.lifeinscouncil.org,http://www.lifeinscouncil.org/consumers/ListOfCompanies,"Statutory self-regulatory council under s.64C of the Insurance Act, 1938",statutory (1938 Act s.64C),active,life insurers,IRDAI
gic,General Insurance Council,GI Council,https://www.gicouncil.in,https://www.gicouncil.in/members-of-gi-council/,"Statutory self-regulatory council under s.64C of the Insurance Act, 1938",statutory (1938 Act s.64C),active,general + health insurers and reinsurers,IRDAI
iiipi,Indian Institute of Insolvency Professionals of ICAI,IIIPI,https://www.iiipicai.in,,First IBBI-registered insolvency professional agency (FY 2016-17; reg. IBBI/IPA/16-17/01),2016-17,active,insolvency professionals (ICAI arm),IBBI
icsiip,ICSI Institute of Insolvency Professionals,ICSI IIP,https://www.icsiiip.in,,IBBI-registered insolvency professional agency (FY 2016-17; reg. IBBI/IPA/16-17/02),2016-17,active,insolvency professionals (ICSI arm),IBBI
ipaicmai,Insolvency Professional Agency of the Institute of Cost Accountants of India,IPA ICMAI,https://www.ipaicmai.in,,IBBI-registered insolvency professional agency (FY 2016-17; reg. IBBI/IPA/16-17/03),2016-17,active,insolvency professionals (ICMAI arm),IBBI
amfi,Association of Mutual Funds in India,AMFI,https://www.amfiindia.com,https://www.amfiindia.com/aboutamfi (Members tab),Industry association (est. 1995) with self-regulatory codes — never recognised by SEBI as an SRO; tracked for context,1995 (association),context,mutual funds,SEBI
anmi,Association of National Exchanges Members of India,ANMI,https://anmi.in,,"Industry body (est. 1996, ~900 trading members) — has publicly sought SRO status; not recognised; tracked for context",1996 (association),context,stock brokers,SEBI
