sro,member_name,website,member_type,logo_file
SRPA,BillDesk,https://www.billdesk.com,member,bill.jpg
SRPA,CRED,https://cred.club,member,cred.jpg
SRPA,Euronet,https://www.euronetworldwide.com,member,euro.jpg
SRPA,Infibeam Avenues,https://www.infibeam.com,member,infi.jpg
SRPA,In-Solutions Global (ISG),https://insolutionsglobal.com,member,isg.jpg
SRPA,MobiKwik,https://www.mobikwik.com,member,mob.jpg
SRPA,Mswipe,https://www.mswipe.com,member,mswipe.jpg
SRPA,Concerto Software & Systems,,member,oncerto.jpg
SRPA,Open,https://open.money,member,open.jpg
SRPA,OxyMoney,https://www.oxymoney.com,member,oxy.jpg
SRPA,PayGlocal,https://payglocal.com,member,pay.jpg
SRPA,PayWorld,https://www.payworldindia.com,member,payword.jpg
SRPA,PhonePe,https://www.phonepe.com,member,phonepay.jpg
SRPA,Razorpay,https://razorpay.com,member,razor.jpg
SRPA,SabPaisa,https://sabpaisa.com,member,sab.jpg
SRPA,Spice Money,https://www.spicemoney.com,member,spice.jpg
SRPA,Unimoni,https://www.unimoni.com,member,uni.jpg
SRPA,Zokudo,https://www.zokudo.com,member,zok.jpg
