sro,member_name,website,member_type,logo_file
UFF,Axio,https://www.axio.co.in/,member,AXIO-2.png
UFF,IndiaLends,https://indialends.com/,member,INDIALENDS-2.png
UFF,Indifi,https://www.indifi.com/,member,INDIFI-2.png
UFF,Lendingkart,https://www.lendingkart.com/,member,LENDINGKART-2.png
UFF,Moneyview,https://moneyview.in/,member,MONEYVIEW.png
UFF,NeoGrowth,https://neogrowth.in/,member,NEO-GROWTH.png
UFF,FinBox,https://finbox.in/,member,finbox.png
UFF,KreditBee,https://www.kreditbee.in/,member,KREDIT.png
UFF,Navi,https://navi.com/,member,Navi.png
UFF,Uni,https://www.uni.cards/,member,UNI.png
UFF,Yubi,https://www.go-yubi.com/,member,Yubi.png
UFF,Capri Loans,https://www.capriloans.in/,member,CAPRI.png
UFF,iGnosis,https://ignosis.ai/,member,IGNOSIS.png
UFF,PayU Finance,https://payufin.in/,member,lendingkart.png
UFF,Signzy,https://www.signzy.com/,associate,Signzy-1.png
UFF,Avanse,https://www.avanse.com/,member,avanse.png
UFF,Kinara Capital,https://kinaracapital.com/,member,KINARA.png
UFF,True Balance,https://www.truebalance.io/,member,TRUE-BALANCE.png
UFF,Advance.ai,https://www.advance.ai/,member,Advance.ai_.png
UFF,AuthBridge,https://authbridge.com/,member,117.png
UFF,Bank of Baroda,https://www.bankofbaroda.in/,associate,116.png
UFF,Bureau,https://www.bureau.id/,associate,BUREAU.png
UFF,Credit Saison,https://creditsaison.in/,member,112.png
UFF,Decentro,https://decentro.tech/,member,Decentro.webp
UFF,Eko,https://eko.in/,member,110.png
UFF,Experian,https://www.experian.in/,member,109.png
UFF,Fi Money,https://fi.money/,member,106.png
UFF,Finpedia,https://www.finpedia.id/,member,104.png
UFF,HyperVerge,https://hyperverge.co/in/,member,HYPERVERGE.png
UFF,IIFL,https://www.iifl.com/,member,IIFL.png
UFF,iSPIRT,https://ispirt.in/,associate,ISPIRT.png
UFF,MobiKwik,https://www.mobikwik.com/,member,MOBIKWIK.png
UFF,Nelito,https://www.nelito.com/,associate,NELITO.png
UFF,NeoKred,https://www.neokred.tech/,member,NEOKRED.png
UFF,Northern Arc,https://www.northernarc.com/,member,NORTHERN-ARC.png
UFF,Perfios,https://www.perfios.com/,member,PERFIOS.png
UFF,Protium,https://protium.co.in/,member,PROTIUM.png
UFF,RapidRupee,https://www.rapidrupee.in/,member,RAPIDRUPEE.png
UFF,RBL Bank,https://www.rblbank.com/,associate,RBL.png
UFF,Saafe,https://saafe.in/,member,SAAFE.png
UFF,ScoreMe,https://www.scoreme.in/,member,SCOREME.png
UFF,Zaggle,https://www.zaggle.in/,member,zaggle.png
UFF,Khaitan & Co,https://www.khaitanco.com/,associate,KHAITAN.png
UFF,KPMG,https://kpmg.com/in/en.html,associate,KPMG.png
UFF,BDO,https://www.bdo.global/en-gb/home,associate,BDO.png
UFF,BPJ N BFC,https://bpjnbfc.in/,member,logo-bpj-horizont-01.png
UFF,BharatNXT,https://web.bharatnxt.in/,member,bharat-nxt.png
UFF,BSFG Finance,https://bsfg.finance/,member,BSFG.png
UFF,Clari5,https://www.clari5.com/,associate,Clari5.png
UFF,PaySprint,https://www.paysprint.in/index.html,member,2-3.png
UFF,Cyber Ambassador,https://www.cyberambassador.co.in/,associate,WhatsApp-Image-2025-03-26-at-2.06.58-PM.webp
UFF,Deleverage,http://www.deleverage.in/,member,Deleverage-1.svg
UFF,Entitled,https://www.entitled.co.in/,member,Entitled.png
UFF,FameScore,https://famescore.in/,member,Fame-Score.png
UFF,Fundfina,https://www.fundfina.com/,member,Fundfina.png
UFF,GetKosh,https://getkosh.com/,member,up-182x55.jpg
UFF,Frog8,https://frog8.co.in/,member,frog8.png
UFF,Lucid Ledger,https://www.lucidledger.co.in/,member,lucidledger.png
UFF,MiMo IQ,https://mimoiq.com/,member,Mimo.png
UFF,MyPaisaa,https://www.mypaisaa.com/,member,My-Paisaa-2.png
UFF,Rezolve.ai,https://www.rezolve.ai/,member,Rezolv.svg
UFF,Capitabel,https://capitabel.com/,member,capitabel.png
UFF,NBFC Advisor,https://www.nbfcadvisor.com/,associate,DMI-Logo-CYMK.ai-182-x-55-px.png
UFF,Achiievers Finance,https://www.achiieversfinance.com/,member,128-1.png
UFF,Apollo Finvest,https://www.apollofinvest.com/,member,APOLLO.png
UFF,Aspire,https://www.letsaspire.in/,member,Asipre-upi.webp
UFF,BharatPe,http://www.bharatpe.com/,member,bharatpe_logo.png
UFF,Branch,https://branchapp.in/,member,BRANCH.png
UFF,Bueno Finance,https://buenofinanceinc.com/,member,BUENO.png
UFF,CADRE,https://cadreodr.com/,member,CADRE.png
UFF,CARS24,https://www.cars24.com/,member,CARS24.png
UFF,Chinmay Finlease,https://www.chinmayfinlease.com/,member,117-1.png
UFF,CRED,https://www.cred.club/,member,CRED.webp
UFF,Creditt,https://creditt.in/,member,CREDITT.png
UFF,CreditSea,https://www.creditsea.com/,member,CREDIT-SEA.png
UFF,DMI Finance,https://www.dmifinance.in/,member,128.png
UFF,Ecofin Services,https://www.ecofinservices.com/,member,ECOFIN.png
UFF,Eduvanz,https://eduvanz.com/,member,EDUVANZ.png
UFF,Ezfinanz,https://ezfinanz.com/,member,EZFINANZ.png
UFF,Finova,https://www.finova.in/,member,FINOVA.png
UFF,FlexiLoans,https://flexiloans.com/,member,FLEXI-LAONS.png
UFF,Gromor,https://gromor.in/,member,GROMOR.png
UFF,InCred,https://www.incred.com/,member,INCRED.png
UFF,IndiaGold,https://refer.indiagold.co/,member,132.png
UFF,LendingPlate,https://lendingplate.com/,member,LENDING-PLATE.png
UFF,Light Microfinance,https://lightmicrofinance.com/,member,LIGHT-2.png
UFF,Loaney,https://loaney.in/,member,LOANEY.png
UFF,Freo,https://freo.money/,member,FREO.png
UFF,Moneyloji,https://www.moneyloji.com/,member,MONEY.png
UFF,Muthoot Fincorp,https://www.muthootfincorp.com/,member,133.png
UFF,Niro,https://niro.money/,member,niro.png
UFF,Niyogin,https://www.niyogin.in/,member,NIYOGIN.png
UFF,OKCredit,https://okcredit.com/,member,ok.png
UFF,Oxyzo,https://www.oxyzo.in/,member,OXYZO.png
UFF,Paisabazaar,https://www.paisabazaar.com/,member,PAISABAZAAR.png
UFF,PayRupik,https://www.payrupikloan.in/,member,rubik.png
UFF,Paytm,https://paytm.com/,member,PAYTM.png
UFF,Progcap,https://progcap.com/,member,PROGCAP.png
UFF,Quadrillion Finance,https://www.quadrillion.finance/,member,QUADRILLION.png
UFF,Revfin,https://www.revfin.in/,member,REVFIN.png
UFF,SalaryDay,https://salaryday.in/,member,SALARY-DAY.png
UFF,Shubh Loans,https://www.shubhloans.com/,member,SHUBH-LOAN.png
UFF,SmartCoin,https://smartcoin.co.in/,member,SMART-COIN.png
UFF,SMC Finance,https://www.smcfinance.com/,member,SMC-FINANCE.png
UFF,Spice Money,https://spicemoney.com/,member,SPICE-MONEY.png
UFF,Tala,https://tala.co.in/,member,TALA.png
UFF,Tezz Capital,https://tezzcapital.com/company/,member,TEZZRACT.png
UFF,Udaan,https://udaan.com/,member,UDAAN.png
UFF,UGRO Capital,https://www.ugrocapital.com/,member,UGRO.png
UFF,Vaibhav Vyapaar,https://www.vaibhav-vyapaar.com/,member,VIABHAV.png
UFF,Vivifi,http://vivifin.com/,member,VIVIFI.png
UFF,Voxomos,https://voxomos.ai/,associate,voxomos.ai_-1-165x53.png
UFF,WeRize,https://www.werize.com/,member,WERIZE-165x53.png
UFF,Zeta,https://www.zeta.tech/,member,ZETA-165x53.png
UFF,CRIF High Mark,https://www.crifhighmark.com/,associate,CRIF-165x53.png
UFF,SwipeLoan,https://swipeloan.in/,member,swipeloan-165x53.png
UFF,EY,https://www.ey.com/en_in,associate,108.png
UFF,DRN Legal,https://www.drnlegal.com/,associate,DRN-Legal.png
UFF,LexisNexis Risk,http://lexisnexisrisk.com/,associate,LEXIS.png
UFF,TeleSign,https://www.telesign.com/,associate,TELESIGN.png
UFF,GetVantage,https://getvantage.co/,member,GETVANTAGE.png
